uc003msx.1	chr6	+	237100	296355	237539	295868	8	237100,249627,256879,280113,290853,293102,293768,295821,	237560,249661,256962,280163,290928,293274,293841,296355,	Q9NRW4	uc003msx.1
uc003msy.1	chr6	+	249627	296353	256953	293951	6	249627,256879,280113,290853,293102,293768,	249661,256962,280163,290928,293274,296353,	Q9NRW4-2	uc003msy.1
uc010jne.1	chr6	+	336751	347637	338152	346815	7	336751,338097,339820,340846,342107,343827,346423,	336809,338368,340007,340935,342252,343935,347637,	Q15306	uc010jne.1
uc003msz.2	chr6	+	336751	356443	338152	352598	9	336751,338097,339820,340846,342107,343827,346423,350017,352454,	336809,338368,340007,340935,342252,343935,346777,350130,356443,	Q15306	uc003msz.2
uc003mta.2	chr6	+	336751	356443	336751	336751	10	336751,338097,339820,340846,342110,343827,346423,350017,351765,352454,	336809,338368,340007,340935,342252,343935,346777,350130,351899,356443,		uc003mta.2
uc003mtb.2	chr6	+	336751	356443	338152	352598	9	336751,338097,339820,340846,342110,343827,346423,350017,352454,	336809,338368,340007,340935,342252,343935,346777,350130,356443,	Q15306-2	uc003mtb.2
uc003mtc.1	chr6	+	342055	347637	342125	346815	3	342055,343827,346423,	342252,343935,347637,	NP_002451	uc003mtc.1
uc003mtd.1	chr6	-	430137	638109	431670	582818	28	430137,433978,436124,442366,444644,477468,494174,498853,500226,500953,501483,507783,509032,509544,509863,517519,521756,537468,543020,543859,544079,555097,562710,564429,574834,577940,582700,638018,	431764,434038,436186,442489,444700,477610,494291,498920,500288,501013,501564,507845,509154,509702,509929,517644,521882,537587,543123,543941,544225,555178,562835,564543,574961,578117,582861,638109,	Q96KP1	uc003mtd.1
uc003mte.1	chr6	-	430137	638109	431670	582818	30	430137,433978,436124,442366,444644,477468,494174,498853,500226,500953,501483,507783,509032,509544,509863,517519,521756,537468,543020,543859,544079,555097,562710,564429,574834,577940,582700,602162,634138,638018,	431764,434038,436186,442489,444700,477610,494291,498920,500288,501013,501564,507845,509154,509702,509929,517644,521882,537587,543123,543941,544225,555178,562835,564543,574961,578117,582861,602250,634212,638109,	Q96KP1	uc003mte.1
uc003mtg.1	chr6	-	600938	601964	601107	601944	1	600938,	601964,	NP_683762	uc003mtg.1
uc003mth.1	chr6	-	654104	656405	654104	654104	1	654104,	656405,		uc003mth.1
uc003mti.1	chr6	-	720455	725214	720455	720455	2	720455,725001,	721969,725214,		uc003mti.1
uc003mtj.2	chr6	-	906241	1046567	906241	906241	5	906241,907374,943604,950632,1044947,	906568,907528,943707,950763,1046567,		uc003mtj.2
uc010jnf.1	chr6	-	906241	1046567	906241	906241	4	906241,907374,950632,1044947,	906568,907528,950763,1046567,		uc010jnf.1
uc003mtk.1	chr6	+	1025163	1050181	1025163	1025163	3	1025163,1046303,1047040,	1025229,1046531,1050181,		uc003mtk.1
uc003mtl.2	chr6	+	1257674	1259993	1257939	1259151	1	1257674,	1259993,	Q9C009	uc003mtl.2
uc003mtm.1	chr6	+	1335067	1340831	1335181	1340093	2	1335067,1339929,	1336352,1340831,	Q12947	uc003mtm.1
uc003mtn.1	chr6	+	1335067	1340832	1335181	1340093	2	1335067,1340025,	1336352,1340832,	Q5TGJ1	uc003mtn.1
uc003mto.2	chr6	+	1441348	1464553	1441348	1441348	5	1441348,1443562,1454046,1460204,1463829,	1441457,1443776,1454148,1460377,1464553,		uc003mto.2
uc003mtp.1	chr6	+	1555679	1559128	1555679	1557341	1	1555679,	1559128,	Q12948	uc003mtp.1
uc003mtq.1	chr6	-	1569039	2190845	1569402	2190655	11	1569039,1569705,1671648,1687700,1875335,1905099,1906006,2061003,2062701,2069919,2190553,	1569465,1569774,1671745,1687819,1875463,1905204,1906199,2061113,2062789,2069964,2190845,	O60547	uc003mtq.1
uc003mtr.2	chr6	-	1672167	1674105	1672167	1672167	1	1672167,	1674105,		uc003mtr.2
uc003mts.1	chr6	+	2191030	2229007	2191030	2191030	6	2191030,2194069,2208833,2214930,2217048,2228731,	2191163,2194159,2208917,2215032,2218650,2229007,		uc003mts.1
uc003mtt.1	chr6	+	2336778	2358781	2336778	2336778	3	2336778,2344098,2357719,	2344011,2344270,2358781,		uc003mtt.1
uc003mtu.1	chr6	+	2344098	2426402	2344098	2344098	3	2344098,2399196,2426066,	2344270,2399254,2426402,		uc003mtu.1
uc003mtv.2	chr6	+	2397643	2429260	2397643	2397643	4	2397643,2399196,2426066,2427219,	2397793,2399254,2426402,2429260,		uc003mtv.2
uc003mtw.2	chr6	-	2567970	2580297	2568671	2569055	3	2567970,2578837,2579797,	2569352,2579025,2580297,	Q96MT4	uc003mtw.2
uc010jng.1	chr6	-	2568671	2569055	2568671	2569055	1	2568671,	2569055,	Q96MT4	uc010jng.1
